category,degenerate_clip,delta_pearson_clip,delta_spearman_clip,invalid_pairs_clip,sample_id,sign_agreement_ratio_clip,subgroup,timestep_mode,total_pairs,valid_pairs_clip
1_change_object_80,0,0.31248118774002154,0.44117647058823534,0,piebench_1_change_object_80_111000000001,0.6875,structural_discrete,first_only,16,16
1_change_object_80,0,0.14058111573638565,0.05294117647058824,0,piebench_1_change_object_80_111000000001,0.625,structural_discrete,first_two,16,16
1_change_object_80,0,0.30209876382104034,0.21176470588235297,0,piebench_1_change_object_80_112000000002,0.5,structural_discrete,first_only,16,16
1_change_object_80,0,0.8007766208536371,0.6705882352941177,0,piebench_1_change_object_80_112000000002,0.875,structural_discrete,first_two,16,16
2_add_object_80,0,0.3304233604532908,0.19705882352941176,0,piebench_2_add_object_80_211000000001,0.6875,structural_discrete,first_only,16,16
2_add_object_80,0,0.6006764350936831,0.7000000000000001,0,piebench_2_add_object_80_211000000001,0.8125,structural_discrete,first_two,16,16
2_add_object_80,0,-0.4830295098185624,-0.4852941176470588,0,piebench_2_add_object_80_212000000009,0.25,structural_discrete,first_only,16,16
2_add_object_80,0,0.763055866444222,0.7705882352941176,0,piebench_2_add_object_80_212000000009,0.6875,structural_discrete,first_two,16,16
3_delete_object_80,0,0.7924247734281228,0.7735294117647058,0,piebench_3_delete_object_80_311000000001,0.875,structural_discrete,first_only,16,16
3_delete_object_80,0,0.8161302578556895,0.8264705882352942,0,piebench_3_delete_object_80_311000000001,0.875,structural_discrete,first_two,16,16
3_delete_object_80,0,0.05517262696388939,-0.02647058823529412,0,piebench_3_delete_object_80_311000000007,0.4375,structural_discrete,first_only,16,16
3_delete_object_80,0,0.1024412690983958,0.1411764705882353,0,piebench_3_delete_object_80_311000000007,0.625,structural_discrete,first_two,16,16
4_change_attribute_content_40,0,0.3924293918093515,0.3852941176470588,0,piebench_4_change_attribute_content_40_412000000002,0.8125,appearance_like,first_only,16,16
4_change_attribute_content_40,0,-0.24778245831396,-0.3235294117647059,0,piebench_4_change_attribute_content_40_412000000002,0.375,appearance_like,first_two,16,16
4_change_attribute_content_40,0,-0.24620043280902393,-0.2588235294117647,0,piebench_4_change_attribute_content_40_414000000003,0.5625,appearance_like,first_only,16,16
4_change_attribute_content_40,0,0.7068984168980017,0.6852941176470588,0,piebench_4_change_attribute_content_40_414000000003,0.75,appearance_like,first_two,16,16
5_change_attribute_pose_40,0,0.4472801957459852,0.44705882352941173,0,piebench_5_change_attribute_pose_40_511000000001,0.6875,structural_discrete,first_only,16,16
5_change_attribute_pose_40,0,0.3576242204540792,0.3588235294117647,0,piebench_5_change_attribute_pose_40_511000000001,0.375,structural_discrete,first_two,16,16
5_change_attribute_pose_40,0,0.36180475811047863,0.31764705882352945,0,piebench_5_change_attribute_pose_40_511000000002,0.5625,structural_discrete,first_only,16,16
5_change_attribute_pose_40,0,0.5912538179964997,0.6823529411764706,0,piebench_5_change_attribute_pose_40_511000000002,0.75,structural_discrete,first_two,16,16
6_change_attribute_color_40,0,0.2331367181055775,0.21764705882352942,0,piebench_6_change_attribute_color_40_611000000000,0.625,appearance_like,first_only,16,16
6_change_attribute_color_40,0,-0.00035854305030502687,-0.02058823529411765,0,piebench_6_change_attribute_color_40_611000000000,0.5625,appearance_like,first_two,16,16
6_change_attribute_color_40,0,0.6666876319175997,0.6176470588235293,0,piebench_6_change_attribute_color_40_611000000003,0.8125,appearance_like,first_only,16,16
6_change_attribute_color_40,0,0.9069899048005666,0.9147058823529413,0,piebench_6_change_attribute_color_40_611000000003,0.8125,appearance_like,first_two,16,16
7_change_attribute_material_40,0,0.5528689447347013,0.4205882352941176,0,piebench_7_change_attribute_material_40_711000000000,0.625,appearance_like,first_only,16,16
7_change_attribute_material_40,0,0.143529049061964,0.08823529411764705,0,piebench_7_change_attribute_material_40_711000000000,0.625,appearance_like,first_two,16,16
7_change_attribute_material_40,0,0.3151133169244511,0.28529411764705886,0,piebench_7_change_attribute_material_40_711000000004,0.625,appearance_like,first_only,16,16
7_change_attribute_material_40,0,0.6716801276237557,0.6323529411764706,0,piebench_7_change_attribute_material_40_711000000004,0.625,appearance_like,first_two,16,16
8_change_background_80,0,0.6243233557608884,0.6823529411764706,0,piebench_8_change_background_80_811000000003,0.8125,appearance_like,first_only,16,16
8_change_background_80,0,0.7312745897594852,0.7205882352941175,0,piebench_8_change_background_80_811000000003,0.875,appearance_like,first_two,16,16
9_change_style_80,0,0.4642176385315584,0.4970588235294117,0,piebench_9_change_style_80_912000000002,0.6875,appearance_like,first_only,16,16
9_change_style_80,0,-0.3084318131746735,-0.4852941176470588,0,piebench_9_change_style_80_912000000002,0.25,appearance_like,first_two,16,16
