"sample_index","seed_slot","rho","steps","guidance","resolution","mask_edit_area_ratio","roi_bbox","roi_x0","roi_x1","roi_y0","roi_y1","roi_uses_full_image","dino_denominator_global","dino_denominator_roi","dino_degenerate_global","dino_degenerate_roi","dino_progress_global","dino_progress_roi","preserve_l1_vs_source","preserve_l1_vs_rho1","preserve_lpips_vs_source","preserve_lpips_vs_rho1","edit_l1_vs_rho1","edit_lpips_vs_rho1","leakage_ratio_l1","leakage_ratio_lpips","source_conditioning_unchanged","coupling_step_indices","coupling_sigmas","coupling_diffusion_coefficients"
"0","0","1.0","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.4603402614593506","-0.4603402614593506","0.019558677449822426","0.0","0.19207994639873505","0.0","0.0","0.0","","","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","0","0.75","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.4670749008655548","-0.4670749008655548","0.020011691376566887","0.0032917947974056005","0.1976521611213684","0.018958603963255882","0.016003774479031563","0.04973504692316055","0.20568852334387328","0.38119196269437194","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","0","0.5","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.5330386161804199","-0.5330386161804199","0.0200993400067091","0.0035658206325024366","0.19915376603603363","0.02171334996819496","0.02107906900346279","0.055613357573747635","0.16916396735913636","0.3904340074245886","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","0","0.25","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.517349362373352","-0.517349362373352","0.020157266408205032","0.0034877320285886526","0.1996821165084839","0.02133050374686718","0.02285251021385193","0.05526256561279297","0.15261914204432397","0.3859846109295219","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","0","0.0","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.47353503108024597","-0.47353503108024597","0.020293962210416794","0.0033768387511372566","0.20105697214603424","0.02032766304910183","0.022527435794472694","0.05529725179076195","0.14989887366484278","0.36760704582478626","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","1","1.0","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.613370954990387","-0.613370954990387","0.01868346333503723","0.0","0.19321823120117188","0.0","0.0","0.0","","","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","1","0.75","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.5917567014694214","-0.5917567014694214","0.018638629466295242","0.0016118069179356098","0.19172532856464386","0.0038679963909089565","0.0076123252511024475","0.013283484615385532","0.21173619720731318","0.29118816267135544","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","1","0.5","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.544796884059906","-0.544796884059906","0.018632670864462852","0.0015933027025312185","0.1911555677652359","0.004129158798605204","0.008858215063810349","0.01666577160358429","0.17986703781557142","0.24776268505265603","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","1","0.25","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.5347223877906799","-0.5347223877906799","0.018608205020427704","0.001844631740823388","0.19070594012737274","0.005723338574171066","0.010174766182899475","0.020568789914250374","0.1812945766732069","0.2782534031169145","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
"0","1","0.0","28","3.5","1024","0.41428375244140625","[0, 0, 1024, 1024]","0","1024","0","1024","False","0.02204911969602108","0.02204911969602108","False","False","-0.5205935835838318","-0.5205935835838318","0.018853895366191864","0.0020427911076694727","0.19259339570999146","0.00640957010909915","0.010608384385704994","0.02264116145670414","0.1925636466176419","0.283093572316076","True","[1, 2, 3]","[0.988408625125885, 0.9762224555015564, 0.9633944034576416]","[1.4416153397058284, 1.0263281705019067, 0.843648175695709]"
